company,reason_rejected_or_deferred,source_or_note
Bharat Forge Ltd,Revenue far above Rs 500Cr; large group flagship.,"FY25 consolidated revenue Rs 15,123Cr in annual report."
Forbes Marshall,Likely above target revenue band and large established group.,"Pune instrumentation/process-control leader, but not mid-sized Federer target."
Praj Industries,Revenue far above target band.,"FY25 revenue above Rs 3,000Cr in public filings."
Thermax Ltd,Revenue far above target band.,Large listed Pune engineering group.
Kirloskar Pneumatic,Revenue above target band and large group context.,Pune industrial machinery company.
Varroc Engineering,Revenue far above target band.,Large auto components group.
Endurance Technologies,Revenue far above target band.,Large auto components group.
NIBE Ltd,"FY25 revenue crossed about Rs 507Cr, just over cutoff; high volatility.",StockAnalysis / Equitymaster FY25 data.
Indo Schottle / SFS Group India,Strong technical fit but now part of Switzerland-based SFS Group; large-group subsidiary caveat.,IATF/AS9100 certifications and Pune plant evidence.
Krohne Marshall Pvt Ltd,"Revenue and Pune instrumentation fit, but JV/MNC/Forbes Marshall group control makes Federer fit weaker.",Tofler revenue band Rs 300-400Cr.
WIKA Instruments India,Foreign subsidiary; revenue at/near Rs 500Cr.,Tofler revenue band around Rs 500Cr.
Nord Drivesystems India,Foreign subsidiary.,Tofler revenue band Rs 300-400Cr.
Vishay Components India,Foreign subsidiary.,Tofler revenue band Rs 300-400Cr.
Benteler Automotive India,Foreign subsidiary.,Tofler revenue band Rs 100-500Cr.
ElringKlinger Automotive Components India,Foreign subsidiary.,Tofler revenue band Rs 200-300Cr.
Manas Microsystems,Baumer Group company; subsidiary caveat.,Pune flowmeter manufacturer.
Tronsoft Technologies,Trader/wholesaler-distributor; fails E1 producer gate.,IndiaMART profile says trader/wholesaler.
Duro Technical Systems,"Distribution arm, not producer; producer is Duroshox.",Official site says exclusive distributor.
Jayashree Electron,Excellent product fit but revenue evidence suggests below Rs 50Cr; deferred.,eleB2B turnover Rs 250mn; CompanyCheck growth only.
Protocontrol Instruments,"Product fit, but revenue/scale appears too small; deferred.",CompanyCheck/Tofler revenue not available and small charge base.
Technofour Electronics,Strong instrument fit but part of METTLER TOLEDO; subsidiary caveat.,Official site says part of METTLER TOLEDO.
KSH International,Likely above target band after IPO scale; verify before considering.,IPO note indicates large borrowings and major expansion.
